,Circuit breaker Open/Close Status,Disconnector Open/Close Status,Earth switch Open/Close Status,Protection system healthy (Trip circuit healthy),Control level - Local or remote,Protection tripped,Circuit breaker mechanical failure,Auxiliary power failure,Intertrip command send,Intertrip command receive,Current Line 'L1',Current Line 'L2',Current Line 'L3',Voltage Phase 'L1-N',Voltage Phase 'L2-N',Voltage Phase 'L3-N',Active Power,Reactive power,Frequency,Power Factor
0,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,154,154,154,37156,37156,37156,14543036,9225082,50.0,0.84
1,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,154,154,154,37156,37156,37156,14562073,9217264,50.0,0.84
2,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,154,154,154,37156,37156,37156,14581099,9209701,50.0,0.85
3,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,154,154,154,37156,37156,37156,14600098,9202398,50.0,0.85
4,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,154,154,154,37156,37156,37156,14619060,9195359,50.0,0.85
5,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,155,155,155,37156,37156,37156,14637970,9188590,50.0,0.85
6,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,155,155,155,37156,37156,37156,14656817,9182094,50.0,0.85
7,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,155,155,155,37156,37156,37156,14675586,9175877,50.0,0.85
8,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,155,155,155,37156,37156,37156,14694265,9169943,50.0,0.85
9,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,155,155,155,37156,37156,37156,14712841,9164296,50.0,0.85
10,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,155,155,155,37156,37156,37156,14731301,9158939,50.0,0.85
11,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,155,155,155,37156,37156,37156,14749634,9153877,50.0,0.85
12,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,155,155,155,37156,37156,37156,14767825,9149112,50.0,0.85
13,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,155,155,155,37156,37156,37156,14785863,9144649,50.0,0.85
14,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,156,156,156,37156,37156,37156,14803736,9140489,50.0,0.85
15,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,156,156,156,37156,37156,37156,14821431,9136637,50.0,0.85
16,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,156,156,156,37155,37155,37155,14838936,9133094,50.0,0.85
17,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,156,156,156,37155,37155,37155,14856238,9129863,50.0,0.85
18,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,156,156,156,37155,37155,37155,14873327,9126946,50.0,0.85
19,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,156,156,156,37155,37155,37155,14890191,9124345,50.0,0.85
20,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,156,156,156,37155,37155,37155,14906817,9122063,50.0,0.85
21,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,156,156,156,37154,37154,37154,14923194,9120099,50.0,0.85
22,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,157,157,157,37154,37154,37154,14939312,9118457,50.0,0.85
23,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,157,157,157,37154,37154,37154,14955159,9117136,50.0,0.85
24,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,157,157,157,37154,37154,37154,14970725,9116138,50.0,0.85
25,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,157,157,157,37153,37153,37153,14985998,9115464,50.0,0.85
26,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,157,157,157,37153,37153,37153,15000968,9115114,50.0,0.85
27,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,157,157,157,37153,37153,37153,15015625,9115087,50.0,0.85
28,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,157,157,157,37152,37152,37152,15029959,9115385,50.0,0.86
29,TRUE,1,0,1,FALSE,FALSE,1,FALSE,FALSE,FALSE,157,157,157,37152,37152,37152,15043960,9116007,50.0,0.86
